"Name","State","Notes","User","Tags","Created","Runtime","Sweep","alpha","config","data.classifier","data.dataset","data.explanation_length","explanation_length","gamma","listener.gamma","listener.heads","listener.k","listener.layers","listener.lr","listener.prior","listener.temperature_scale","listener.type","listener.wd","listener.width","method","name","parameters.alphas","parameters.config","parameters.explanation_lengths","parameters.gammas","program","speaker.alpha","speaker.attn_pooler_heads","speaker.beta","speaker.dropout","speaker.heads","speaker.include_prediction","speaker.k","speaker.layers","speaker.lr","speaker.use_tokens","speaker.wd","speaker.width","train/chosen logp","train/listener accuracy","train/listener loss","train/logratios","train/rejected logp","train/speaker loss","val/explanation accuracy","val/explanation consistency","val/explanation length","val/explanation logp","val/explanation sentiment","val/listener accuracy"
"chexpert_claim_len12_gamma0.4_alpha0.2","finished","-","","","2025-04-13T17:57:10.000Z","44638","5sqwve8i","0.2","chexpert","BiomedVLP","chexpert","12","12","0.4","0.4","4","8","12","0.0001","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0]","1","claim","0.01","256","","","","","","","","0.2","4","0.6","0","4","true","4","12","0.0001","false","0.01","256","-32.95795030593872","0.9875","0.057124567556456896","9.808720153570174","-42.76667041778565","0.5870538115501404","0.7756044803521572","0.5207169646890755","6.188034188034188","-30.1305170955821","0.5497377672766008","0.9572649572649572"
"chexpert_claim_len12_gamma0.2_alpha0.2","finished","-","","","2025-04-13T17:27:10.000Z","41386","5sqwve8i","0.2","chexpert","BiomedVLP","chexpert","12","12","0.2","0.2","4","8","12","0.0001","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0]","1","claim","0.01","256","","","","","","","","0.2","4","0.6","0","4","true","4","12","0.0001","false","0.01","256","-49.589632225036624","0.96875","0.13445711628301069","4.985139930248261","-54.5747730255127","0.7512557178735733","0.7262473778846936","0.4236663742962047","6.726495726495727","-39.21825480664897","0.5953944259219699","0.97008547008547"
"chexpert_claim_len12_gamma0.0_alpha0.2","finished","-","","","2025-04-13T12:46:52.000Z","40847","5sqwve8i","0.2","chexpert","BiomedVLP","chexpert","12","12","0","0","4","8","12","0.0001","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0]","1","claim","0.01","256","","","","","","","","0.2","4","0.6","0","4","true","4","12","0.0001","false","0.01","256","-44.10199947357178","0.971875","0.15991837837718775","6.092534863948822","-50.19453449249268","0.6650282353162765","0.4538122527619712","0.37522725366119647","5.17948717948718","-47.25210649539263","0.907850025046585","0.9829059829059827"
"chexpert_claim_len8_gamma0.4_alpha0.2","finished","-","","","2025-04-13T07:37:26.000Z","37180","5sqwve8i","0.2","chexpert","BiomedVLP","chexpert","8","8","0.4","0.4","4","8","12","0.0001","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0]","1","claim","0.01","256","","","","","","","","0.2","4","0.6","0","4","true","4","12","0.0001","false","0.01","256","-25.69727931022644","0.978125","0.12968595216298126","4.829735791683197","-30.527015113830565","0.674200750887394","0.7483516513791859","0.5039652086730696","5.948717948717949","-22.041263286884018","0.5579517641638079","0.9615384615384616"
"chexpert_claim_len8_gamma0.2_alpha0.2","finished","-","","","2025-04-13T06:58:12.000Z","37733","5sqwve8i","0.2","chexpert","BiomedVLP","chexpert","8","8","0.2","0.2","4","8","12","0.0001","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0]","1","claim","0.01","256","","","","","","","","0.2","4","0.6","0","4","true","4","12","0.0001","false","0.01","256","-16.609168148040773","0.975","0.1310623141223914","2.7895038038492204","-19.398671531677245","0.5701570361852646","0.7095950526050013","0.4497822614816519","5.166666666666667","-13.11282739883814","0.6547161249014047","0.9658119658119658"
"chexpert_claim_len8_gamma0.0_alpha0.2","finished","-","","","2025-04-13T02:59:10.000Z","35258","5sqwve8i","0.2","chexpert","BiomedVLP","chexpert","8","8","0","0","4","8","12","0.0001","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0]","1","claim","0.01","256","","","","","","","","0.2","4","0.6","0","4","true","4","12","0.0001","false","0.01","256","-29.408047676086422","0.99375","0.03167238617315889","5.43602751493454","-34.844074440002444","0.6340551763772965","0.449460728555663","0.3680504703114175","4.5085470085470085","-29.39254160823985","0.9099715143187432","0.9829059829059827"
"chexpert_claim_len4_gamma0.4_alpha0.2","finished","-","","","2025-04-12T23:12:20.000Z","30303","5sqwve8i","0.2","chexpert","BiomedVLP","chexpert","4","4","0.4","0.4","4","8","12","0.0001","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0]","1","claim","0.01","256","","","","","","","","0.2","4","0.6","0","4","true","4","12","0.0001","false","0.01","256","-12.38521432876587","0.9875","0.0794733070069924","2.526493212580681","-14.911707353591918","0.7476069033145905","0.7428775098588731","0.54223647280636","3.141025641025641","-12.5094360938439","0.6381766470069559","0.9658119658119658"
"chexpert_claim_len4_gamma0.2_alpha0.2","finished","-","","","2025-04-12T22:58:21.000Z","28786","5sqwve8i","0.2","chexpert","BiomedVLP","chexpert","4","4","0.2","0.2","4","8","12","0.0001","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0]","1","claim","0.01","256","","","","","","","","0.2","4","0.6","0","4","true","4","12","0.0001","false","0.01","256","-6.694962191581726","0.978125","0.1472627009061398","2.270316022634506","-8.965278148651123","0.6731178551912308","0.7500000142643595","0.49273504151238334","2.9743589743589745","-3.7093495752057457","0.6566951682424953","0.9615384615384616"
"chexpert_claim_len4_gamma0.0_alpha0.2","finished","-","","","2025-04-12T19:13:59.000Z","27905","5sqwve8i","0.2","chexpert","BiomedVLP","chexpert","4","4","0","0","4","8","12","0.0001","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0]","1","claim","0.01","256","","","","","","","","0.2","4","0.6","0","4","true","4","12","0.0001","false","0.01","256","-8.329249787330628","0.9875","0.06661015187419253","2.351122644543648","-10.68037235736847","0.7049094066023827","0.4764957427978515","0.4212963030888484","3.2564102564102564","-5.07060657403408","0.935897452199561","0.9786324786324786"
"chexpert_claim_len12_gamma0.4_alpha0.0","finished","-","","","2025-04-12T12:27:57.000Z","38659","5sqwve8i","0","chexpert","BiomedVLP","chexpert","12","12","0.4","0.4","4","8","12","0.0001","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0]","1","claim","0.01","256","","","","","","","","0","4","0.6","0","4","true","4","12","0.0001","false","0.01","256","-47.063996982574466","0.85625","0.32704561688005923","18.270489835739134","-65.33448638916016","0.6519446820020676","0.7682268476893759","0.5282136191669692","3.948717948717949","-53.92107763045873","0.589199235296657","0.8290598290598291"
"chexpert_claim_len12_gamma0.2_alpha0.0","finished","-","","","2025-04-12T12:11:32.000Z","38805","5sqwve8i","0","chexpert","BiomedVLP","chexpert","12","12","0.2","0.2","4","8","12","0.0001","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0]","1","claim","0.01","256","","","","","","","","0","4","0.6","0","4","true","4","12","0.0001","false","0.01","256","-82.07870445251464","0.8875","0.2972802514210343","18.11728075146675","-100.1959846496582","0.7466196164488792","0.7595002182528504","0.4529427096375033","6.952991452991453","-90.24362991202592","0.5991309687622592","0.8376068376068376"
"chexpert_claim_len12_gamma0.0_alpha0.0","finished","-","","","2025-04-12T10:04:57.000Z","32936","5sqwve8i","0","chexpert","BiomedVLP","chexpert","12","12","0","0","4","8","12","0.0001","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0]","1","claim","0.01","256","","","","","","","","0","4","0.6","0","4","true","4","12","0.0001","false","0.01","256","-65.62126636505127","0.790625","0.41705714985728265","11.48421520590782","-77.10548133850098","0.9403007388114928","0.5198921484824939","0.5198921484824939","2.4444444444444446","-53.510952941372864","1","0.7606837606837606"
"chexpert_claim_len8_gamma0.4_alpha0.0","finished","-","","","2025-04-12T03:31:13.000Z","31215","5sqwve8i","0","chexpert","BiomedVLP","chexpert","8","8","0.4","0.4","4","8","12","0.0001","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0]","1","claim","0.01","256","","","","","","","","0","4","0.6","0","4","true","4","12","0.0001","false","0.01","256","-40.85550441741943","0.83125","0.3992902934551239","14.514136302471162","-55.3696403503418","0.7724020823836326","0.852355529100467","0.6190008159376618","3.905982905982906","-35.33136273245526","0.5984534035381089","0.7905982905982906"
"chexpert_claim_len8_gamma0.2_alpha0.0","finished","-","","","2025-04-12T03:29:35.000Z","32299","5sqwve8i","0","chexpert","BiomedVLP","chexpert","8","8","0.2","0.2","4","8","12","0.0001","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0]","1","claim","0.01","256","","","","","","","","0","4","0.6","0","4","true","4","12","0.0001","false","0.01","256","-44.65035810470581","0.85625","0.31324222683906555","12.011844158172607","-56.66220283508301","0.7583951637148857","0.7912138731051714","0.5153083108429216","4.628205128205129","-61.428102150941505","0.6384411917792426","0.7905982905982906"
"chexpert_claim_len8_gamma0.0_alpha0.0","finished","-","","","2025-04-12T02:33:08.000Z","27102","5sqwve8i","0","chexpert","BiomedVLP","chexpert","8","8","0","0","4","8","12","0.0001","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0]","1","claim","0.01","256","","","","","","","","0","4","0.6","0","4","true","4","12","0.0001","false","0.01","256","-9.751091504096983","0.740625","0.5503871873021126","6.089326202869415","-15.840418004989624","0.7644894182682037","0.5598290659423567","0.5598290659423567","1.205128205128205","-8.123582562829695","1","0.7094017094017094"
"chexpert_claim_len4_gamma0.4_alpha0.0","finished","-","","","2025-04-11T20:53:58.000Z","23829","5sqwve8i","0","chexpert","BiomedVLP","chexpert","4","4","0.4","0.4","4","8","12","0.0001","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0]","1","claim","0.01","256","","","","","","","","0","4","0.6","0","4","true","4","12","0.0001","false","0.01","256","-12.476479864120485","0.746875","0.4789568275213242","4.020518860220909","-16.496998739242553","0.8961767494678498","0.8361823375408466","0.6562678121094011","1.1581196581196582","-12.256671057807075","0.6937321964492146","0.7051282051282052"
"chexpert_claim_len4_gamma0.2_alpha0.0","finished","-","","","2025-04-11T20:53:58.000Z","23730","5sqwve8i","0","chexpert","BiomedVLP","chexpert","4","4","0.2","0.2","4","8","12","0.0001","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0]","1","claim","0.01","256","","","","","","","","0","4","0.6","0","4","true","4","12","0.0001","false","0.01","256","-15.790971279144289","0.79375","0.4068209730088711","2.5244061768054964","-18.31537728309631","0.7840329080820083","0.8336894695575421","0.5718660986321604","1.2991452991452992","-14.515083639030784","0.6659544186714368","0.7606837606837606"
"chexpert_claim_len4_gamma0.0_alpha0.0","finished","-","","","2025-04-11T20:53:58.000Z","20345","5sqwve8i","0","chexpert","BiomedVLP","chexpert","4","4","0","0","4","8","12","0.0001","[0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0]","1","claim","0.01","256","","","","","","","","0","4","0.6","0","4","true","4","12","0.0001","false","0.01","256","-7.105786871910095","0.765625","0.4917029693722725","3.0260319381952288","-10.1318186044693","0.7358166113495826","0.5847578374748557","0.5847578374748557","1.0256410256410255","-5.2762866876064205","1","0.7136752136752137"
